index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
381,0.3,średni,głęboki,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,2,1,3,1,1,0,"Annotator przeszedł od opisu zachowań i granic do złożonego opisu emocji, takich jak zawstydzenie i zażenowanie, co wskazuje na głębsze zrozumienie wewnętrznych reakcji na wpływ społeczny.",stawianie granic (behawioralne); zaskoczenie (zewnętrzne),"emocje negatywne (zawstydzenie, zażenowanie); doznania cielesne (rumieniec); niepewność; reakcje kognitywne (przytaknięcie z zastrzeżeniem)",[],emocje negatywne; doznania cielesne; niepewność; reakcje kognitywne,stawianie granic; zaskoczenie,pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje zrozumienie psychologicznych reakcji, przechodząc od opisu zachowań do identyfikacji złożonych emocji i doznań cielesnych, co wskazuje na większą wrażliwość na wewnętrzne stany.",0.8,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu zachowań na identyfikację emocji, co pokazuje głębsze zrozumienie wpływu społecznego; (2) Wprowadzenie doznania cielesnego jako ważnego elementu reakcji emocjonalnych; (3) Zwiększona granularność emocjonalna, co wskazuje na bardziej złożone postrzeganie reakcji na wpływ społeczny.",reaction
382,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,0,0,0,1,0,Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym bez głębszej analizy stanów psychologicznych.,uprzejmość; unikanie tematu,humor,[],humor,uprzejmość; unikanie tematu,brak znaczącej zmiany,"Annotator nie rozwinął głębszego zrozumienia psychologicznych reakcji, a zmiana w odpowiedzi jest bardziej behawioralna i nie wnosi nowych wglądów w wewnętrzne stany.",0.0,"Brak postępu w analizie psychologicznych reakcji. Zmiana z 'uprzejmości' na 'humor' nie wskazuje na głębsze zrozumienie emocji czy procesów kognitywnych, a raczej na powierzchowną zmianę w opisie zachowania.",reaction
383,0.1,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,1,1,0,1,"Annotator przeszedł od braku identyfikacji reakcji do rozpoznania emocjonalnego wyrażenia wdzięczności oraz kognitywnego stwierdzenia braku chęci do wymyślania nowych pomysłów, co pokazuje rozwój w rozumieniu reakcji psychologicznych.",[],emocje pozytywne (wdzięczność); procesy kognitywne (brak chęci do wymyślania),[],emocje pozytywne; procesy kognitywne,[],pogłębienie psychologiczne,"Annotator zidentyfikował emocjonalne i kognitywne aspekty reakcji, co pokazuje rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.",0.7,"Rozwój w identyfikacji reakcji psychologicznych. Kluczowe zmiany: (1) Wprowadzenie emocji pozytywnej (wdzięczność) oraz (2) Zrozumienie kognitywnego aspektu braku chęci do działania, co wskazuje na bardziej złożone myślenie o reakcjach na wpływ społeczny.",reaction
385,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,0,2,1,Brak zmiany w zrozumieniu emocjonalnym; obie odpowiedzi koncentrują się na zachowaniach i wynikach zewnętrznych.,zaangażowanie w grupę,potrzeba wsparcia; dzielenie się rozwiązaniami,[],potrzeba wsparcia; dzielenie się rozwiązaniami,zaangażowanie w grupę,brak znaczącej zmiany,"Annotator nie wykazał znaczącego rozwoju w rozumieniu psychologicznych reakcji na wpływ społeczny. Odpowiedzi pozostają na poziomie behawioralnym, koncentrując się na zewnętrznych wynikach i działaniach.",0.0,"Annotator nie rozwinął głębszego zrozumienia psychologicznych reakcji. Odpowiedzi są bardziej opisowe i behawioralne, bez identyfikacji wewnętrznych stanów emocjonalnych czy kognitywnych.",reaction
384,0.2,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,1,0,1,0,0,3,0,"Annotator przeszedł od identyfikacji pozytywnych emocji i poczucia zobowiązania do opisu konkretnych działań uczniów, co wskazuje na spłycenie analizy emocjonalnej.",pozytywne emocje; poczucie zobowiązania; sugestia zachowania,otwartość uczniów; przyznanie się do trudności; chęć pomocy,[],otwartość; przyznanie się do trudności; chęć pomocy,pozytywne emocje; poczucie zobowiązania; sugestia zachowania,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocjonalnej do opisu zachowań uczniów, co wskazuje na utratę głębszego zrozumienia psychologicznych reakcji.",-0.7,"Annotator wykazał spłycenie analizy, koncentrując się na zewnętrznych zachowaniach uczniów, a nie na ich wewnętrznych stanach emocjonalnych. Utracono zrozumienie pozytywnych emocji i poczucia zobowiązania, co wskazuje na potrzebę dalszego rozwoju w zakresie analizy psychologicznych reakcji.",reaction
386,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,3,1,0,1,2,0,Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym i zewnętrznym.,zachowania grupowe; współpraca; korzyści grupowe,zachowania grupowe; współpraca; pomoc,zachowania grupowe; współpraca,pomoc,korzyści grupowe,brak znaczącej zmiany,"Annotator nie wykazał znaczącego rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Reakcje pozostają na poziomie behawioralnym, a zrozumienie emocji i kognicji nie uległo poprawie.",0.0,"Annotator nie wykazał postępu w analizie reakcji na wpływ społeczny. Skupienie na zachowaniach grupowych i współpracy pozostało, ale brak jest głębszej analizy emocjonalnej czy kognitywnej.",reaction
387,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,0,1,1,1,0,"Annotator przeszedł od ogólnego opisu współpracy do bardziej szczegółowego opisu pozytywnych emocji uczniów oraz ich reakcji na konkretne działania nauczyciela, co wskazuje na rozwój w rozumieniu emocjonalnych i kognitywnych aspektów reakcji.",zachowania współpracy,emocje pozytywne (reakcja uczniów); procesy kognitywne (reakcja na pochwały); behawioralne manifestacje (reakcja na zachętę),[],emocje pozytywne; procesy kognitywne; behawioralne manifestacje,zachowania współpracy,pogłębienie psychologiczne,"Annotator przeszedł od ogólnego opisu współpracy do bardziej złożonego zrozumienia reakcji uczniów, uwzględniając ich emocje i procesy myślowe związane z zachętą i pochwałami.",0.7,Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu zachowań na uwzględnienie emocji i procesów kognitywnych; (2) Wprowadzenie pozytywnych emocji jako istotnego elementu reakcji na wpływ społeczny; (3) Rozszerzenie analizy o konkretne reakcje uczniów na działania nauczyciela.,reaction
388,0.3,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,1,0,0,2,1,0,"Annotator przeszedł od opisu jednego zachowania do zrozumienia wewnętrznych procesów myślowych związanych z przyznawaniem się do niewiedzy i proszeniem o pomoc, co wskazuje na rozwój w analizie reakcji psychologicznych.",konkretne zachowania (pomoc innym),"procesy kognitywne (przyznanie się do niewiedzy, proszenie o pomoc); behawioralne manifestacje (chęć pomocy)",behawioralne manifestacje,procesy kognitywne,konkretne zachowania,pogłębienie psychologiczne,"Annotator zyskał głębsze zrozumienie reakcji psychologicznych, dodając elementy kognitywne, które wcześniej nie były uwzględnione. Zmiana z opisu jednego zachowania na analizę procesów myślowych pokazuje rozwój w rozumieniu wpływu społecznego.",0.7,"Rozwój w analizie reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu jednego zachowania na zrozumienie procesów kognitywnych, co wskazuje na głębsze myślenie o wpływie społecznym; (2) Wprowadzenie nowych kategorii kognitywnych, co pokazuje rozwój w analizie wewnętrznych stanów psychicznych.",reaction
389,0.3,powierzchowny,głęboki,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,2,0,3,3,1,1,"Annotator przeszedł od prostych zachowań do złożonego zrozumienia emocji i myśli, takich jak sceptycyzm, nadzieja, poczucie zabawy oraz świadomość manipulacji.",zachowania współpracy; przyznanie się do problemów,"emocje (sceptycyzm, nadzieja, zabawa); procesy kognitywne (odwołania do przeszłości, świadomość manipulacji); behawioralne manifestacje (spełnienie prośby)",[],emocje; procesy kognitywne,zachowania współpracy; przyznanie się do problemów,pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje zrozumienie psychologicznych reakcji, przechodząc od prostych zachowań do złożonej analizy emocji i myśli związanych z wpływem społecznym.",0.9,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany obejmują: (1) Zmiana z behawioralnych reakcji na głębsze zrozumienie emocji i myśli; (2) Wprowadzenie złożonych stanów emocjonalnych, takich jak sceptycyzm i nadzieja; (3) Zrozumienie wpływu przeszłych doświadczeń na obecne reakcje.",reaction
390,0.1,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,2,1,1,1,"Annotator przeszedł od braku identyfikacji reakcji emocjonalnych do rozpoznania emocji związanych z niechęcią oraz nadzieją, co wskazuje na rozwój w rozumieniu wewnętrznych stanów psychicznych.",[],"emocje (niechęć, nadzieja); procesy kognitywne (ocena sytuacji); behawioralne manifestacje (wejście w akcję); zewnętrzne wyniki (odnowienie znajomości)",[],emocje; procesy kognitywne; behawioralne manifestacje; zewnętrzne wyniki,[],pogłębienie psychologiczne,"Annotator zaczął identyfikować emocje i procesy myślowe, co wskazuje na rozwój w rozumieniu reakcji na wpływ społeczny. Zmiana z braku reakcji do rozpoznania emocji i myśli związanych z sytuacją.",0.7,"Rozwój w identyfikacji emocji i procesów myślowych. Kluczowe zmiany obejmują: (1) Wprowadzenie emocji do analizy reakcji, co pokazuje większą wrażliwość na wewnętrzne stany; (2) Rozpoznanie niechęci i nadziei jako istotnych elementów reakcji na wpływ społeczny; (3) Zmiana z opisu zewnętrznych wyników na bardziej złożoną analizę psychologiczną.",reaction
391,0.2,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,1,0,0,2,2,1,1,0,"Annotator przeszedł od ogólnych emocji (nadzieja, zawód) do bardziej złożonego opisu, który uwzględnia konkretne emocje (rozśmieszenie, przekonanie) oraz ich kontekst psychologiczny.","emocje (nadzieja, zawód); konkretne działania (odnowienie znajomości, realizacja)","emocje (rozśmieszenie, przekonanie); procesy kognitywne (refleksja nad przeszłymi doświadczeniami); behawioralne manifestacje (reakcja na wpływ społeczny)",emocje,procesy kognitywne; behawioralne manifestacje,konkretne działania,pogłębienie psychologiczne,"Annotator przeszedł od opisu ogólnych emocji do bardziej szczegółowego zrozumienia reakcji psychologicznych, uwzględniając konkretne emocje i ich kontekst.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z ogólnych emocji na bardziej szczegółowe opisy reakcji; (2) Wprowadzenie procesów kognitywnych, co wskazuje na głębsze zrozumienie refleksji nad przeszłymi doświadczeniami; (3) Zmiana z opisu działań na opis emocji i ich manifestacji.",reaction
392,0.5,średni,średni,mieszany,mieszany,bez zmian,1,1,1,1,1,1,2,0,"Annotator zachował podobny poziom emocjonalny, ale dodał więcej behawioralnych manifestacji, co wskazuje na większe zaangażowanie w sytuację.",myśli o obietnicy; uleganie prośbie; brak żalu,zaangażowanie w zabawę; luźne podejście; brak dużego żalu,brak żalu,zaangażowanie w zabawę; luźne podejście,myśli o obietnicy; uleganie prośbie,brak znaczącej zmiany,"Annotator nie wykazał znaczącej zmiany w głębokości analizy psychologicznej, ale dodał nowe aspekty behawioralne związane z zaangażowaniem.",0.1,"Annotator przeszedł od analizy myśli i obietnic do bardziej behawioralnego opisu zaangażowania w sytuację. Zmiana w podejściu do emocji jest subtelna, ale wskazuje na rozwój w kierunku dostrzegania bardziej złożonych reakcji behawioralnych.",reaction
393,0.2,powierzchowny,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,1,0,0,1,0,1,1,"Annotator przeszedł od ogólnego 'rozczarowania' do bardziej konkretnego 'sceptycyzmu', ale dodał elementy behawioralne, co wskazuje na spłycenie analizy emocjonalnej.",emocje negatywne (rozczarowanie); procesy kognitywne (dostrzeżenie dobrych stron),emocje negatywne (sceptycyzm); konkretne działania (wykonanie zadania),emocje negatywne,konkretne działania,procesy kognitywne,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocjonalnej do bardziej behawioralnej, co wskazuje na spłycenie zrozumienia reakcji psychologicznych.",-0.5,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy. Zamiast głębszej analizy emocji, annotator skupił się na konkretnych działaniach, co może sugerować mniejsze zrozumienie wewnętrznych procesów psychologicznych.",reaction
394,0.0,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,2,0,0,0,0,0,0,0,"Brak reakcji emocjonalnych w odpowiedzi po, co wskazuje na spłycenie analizy emocjonalnej.","emocje mieszane (rozczarowanie, radość)",[],[],[],emocje mieszane,spłycenie (fokus na zachowania),"Annotator nie dostarczył żadnej odpowiedzi w sekcji 'After', co sugeruje brak analizy reakcji emocjonalnych i spłycenie zrozumienia.",-1.0,"Brak odpowiedzi w sekcji 'After' wskazuje na znaczące spłycenie analizy reakcji emocjonalnych, co może sugerować utratę umiejętności w identyfikacji wewnętrznych stanów psychologicznych.",reaction
395,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,2,0,0,0,0,"Brak jakiejkolwiek zmiany w zrozumieniu reakcji, ponieważ odpowiedź po prostu nie zawiera żadnych reakcji.",brak reakcji; brak odpowiedzi,[],[],[],brak reakcji; brak odpowiedzi,brak znaczącej zmiany,"Nie zaobserwowano żadnej zmiany w zrozumieniu reakcji na wpływ społeczny, ponieważ odpowiedź po czasie nie zawiera żadnych informacji.",-1.0,"Brak jakiejkolwiek ewolucji w rozumieniu reakcji na wpływ społeczny. Odpowiedź po czasie nie dostarcza żadnych informacji, co sugeruje stagnację w analizie.",reaction
396,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
397,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co uniemożliwia ocenę rozwoju ich zrozumienia.",reaction
398,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
399,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,2,1,1,0,"Annotator przeszedł od braku identyfikacji reakcji emocjonalnych do rozpoznania dwóch różnych emocji: niechęci i satysfakcji, co wskazuje na rozwój w rozumieniu wewnętrznych stanów psychicznych.",[],emocje negatywne (niechęć); emocje pozytywne (satysfakcja); procesy kognitywne (zgoda na pomoc); behawioralne manifestacje (udzielenie pomocy),[],emocje negatywne; emocje pozytywne; procesy kognitywne; behawioralne manifestacje,[],pogłębienie psychologiczne,"Annotator zyskał zdolność do identyfikacji emocji oraz procesów kognitywnych związanych z reakcjami na wpływ społeczny, co wcześniej nie miało miejsca.",0.7,"Rozwój w identyfikacji reakcji psychologicznych. Kluczowe zmiany: (1) Wprowadzenie emocji do analizy - niechęć i satysfakcja pokazują, że annotator zaczyna dostrzegać wewnętrzne stany; (2) Zgoda na pomoc jako proces kognitywny wskazuje na zrozumienie, że reakcje mogą być złożone i nie zawsze jednoznaczne; (3) Wzrost złożoności analizy z behawioralnych manifestacji do uwzględnienia emocji i procesów myślowych.",reaction
400,0.3,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,2,2,0,1,0,0,1,1,"Annotator przeszedł od analizy emocji i procesów kognitywnych do opisu jedynie behawioralnego aspektu reakcji, co wskazuje na spłycenie analizy emocjonalnej.",świadomość wpływu; opór; zgoda na prośbę; pozytywne emocje,behawioralna reakcja (przystanie na propozycję),zewnętrzne wyniki,[],świadomość wpływu; opór; pozytywne emocje,spłycenie (fokus na zachowania),"Annotator skupił się na behawioralnym aspekcie reakcji, rezygnując z analizy emocji i procesów kognitywnych, co prowadzi do uproszczenia zrozumienia wpływu społecznego.",-0.6,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy. Zamiast złożonej analizy emocji i procesów kognitywnych, annotator skupił się na prostym opisie zachowania, co może sugerować brak głębszej refleksji nad wewnętrznymi stanami emocjonalnymi.",reaction
401,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,1,0,1,0,2,2,1,1,"Annotator przeszedł od ogólnego poczucia docenienia do bardziej złożonej analizy, która uwzględnia różne aspekty reakcji, takie jak sceptycyzm i bagatelizowanie osiągnięć.",emocje pozytywne (docenienie); behawioralne manifestacje (lepsze samopoczucie),emocje pozytywne (reakcja na komplementowanie); emocje negatywne (sceptycyzm); procesy kognitywne (zauważenie strategii wpływu); behawioralne manifestacje (zgodzenie się na prośbę); zewnętrzne wyniki (bagatelizowanie osiągnięć),emocje pozytywne,emocje negatywne (sceptycyzm); procesy kognitywne (strategia wpływu); behawioralne manifestacje (zgodzenie się na prośbę); zewnętrzne wyniki (bagatelizowanie),[],pogłębienie psychologiczne,"Annotator rozszerzył swoje zrozumienie reakcji na wpływ społeczny, dodając nowe kategorie emocji i procesów kognitywnych, co wskazuje na bardziej złożoną analizę.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany obejmują: (1) Zwiększenie złożoności analizy emocji, w tym dodanie sceptycyzmu i bagatelizowania osiągnięć; (2) Uznanie roli procesów kognitywnych w odpowiedzi na wpływ społeczny; (3) Zmiana z behawioralnego na bardziej psychologiczny fokus, co wskazuje na głębsze zrozumienie dynamiki wpływu społecznego.",reaction
402,0.5,średni,głęboki,mieszany,psychologiczny,bardziej psychologiczny,1,2,1,1,2,2,0,1,"Annotator przeszedł od ogólnego opisu reakcji do bardziej złożonego rozumienia emocji, w tym wyrażenia niechęci oraz zgody z zastrzeżeniami, co wskazuje na większą świadomość swoich wewnętrznych stanów emocjonalnych.","reakcje emocjonalne (uległość); procesy kognitywne (sceptycyzm, zauważenie wpływu); konkretne zachowania (zgoda na prośby)","reakcje emocjonalne (niechęć, zgoda z zastrzeżeniami); świadomość technik wpływu; procesy kognitywne (świadomość emocji)",reakcje emocjonalne; procesy kognitywne,świadomość technik wpływu; zgoda z zastrzeżeniami,uległość wobec komplementowania,pogłębienie psychologiczne,"Annotator rozwinął swoje zrozumienie reakcji na wpływ społeczny, dodając nowe wymiary emocjonalne i kognitywne, takie jak niechęć oraz świadomość technik wpływu.",0.75,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zwiększona świadomość emocji - od uległości do wyrażenia niechęci; (2) Zrozumienie technik wpływu, co wskazuje na głębszą analizę sytuacji; (3) Zgoda z zastrzeżeniami pokazuje bardziej złożone podejście do wpływu społecznego.",reaction
403,0.3,średni,średni,mieszany,mieszany,bez zmian,0,2,1,0,0,3,1,1,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedzi nie zawierają emocji, ale wzrosła liczba kognitywnych spostrzeżeń.","procesy kognitywne (świadomość wpływu, próba oporu); behawioralne manifestacje (akceptacja)","procesy kognitywne (zauważenie manipulacji, zgoda na pomoc); behawioralne manifestacje (zauważenie działania metod nauczycielki); zewnętrzne wyniki (stwierdzenie o swoich sprawach)",procesy kognitywne; behawioralne manifestacje,zewnętrzne wyniki,[],brak znaczącej zmiany,"Annotator zachował podobny poziom analizy kognitywnej, ale dodał nowe spostrzeżenia dotyczące manipulacji i zgody na pomoc. Nie wprowadził jednak głębszej analizy emocjonalnej.",0.0,"Annotator wykazał się większą świadomością procesów kognitywnych związanych z manipulacją, ale nie rozwinął analizy emocjonalnej. Nowe kategorie dotyczące zauważenia wpływu nauczycielki pokazują, że annotator dostrzega bardziej złożone interakcje, ale brak emocji w odpowiedziach wskazuje na powierzchowność analizy.",reaction
404,0.3,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,1,0,0,2,0,0,"Annotator przeszedł od prostego opisu zachowań do bardziej złożonego zrozumienia krytyki i niesprawiedliwości, co wskazuje na rozwój w analizie kognitywnej.","reakcje behawioralne (odmowa, zgoda)","procesy kognitywne (niesprawiedliwość, bezsensowność)",[],procesy kognitywne,reakcje behawioralne,pogłębienie psychologiczne,"Annotator przeszedł od opisu prostych reakcji behawioralnych do analizy kognitywnej dotyczącej niesprawiedliwości i krytyki, co wskazuje na rozwój w rozumieniu psychologicznych reakcji.",0.7,"Rozwój w analizie reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z behawioralnych reakcji na bardziej złożone procesy kognitywne; (2) Zrozumienie kontekstu krytyki i niesprawiedliwości, co wskazuje na głębsze przemyślenie sytuacji.",reaction
405,0.3,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,0,2,1,0,1,0,0,0,"Annotator przeszedł od analizy kognitywnej i behawioralnej do jednego, ogólnego stanu emocjonalnego, co wskazuje na spłycenie analizy.",kognitywne (podważanie zdania); behawioralne (próba załagodzenia sytuacji); emocje (niesprawiedliwość),emocje (niesprawiedliwość),emocje (niesprawiedliwość),[],kognitywne (podważanie zdania); behawioralne (próba załagodzenia sytuacji),spłycenie (fokus na zachowania),"Annotator skupił się na jednym aspekcie emocjonalnym, rezygnując z analizy kognitywnej i behawioralnej, co prowadzi do uproszczenia zrozumienia reakcji.",-0.5,"Rozwój rozumienia przez annotatora wykazuje spłycenie analizy. Zamiast złożonej analizy reakcji, annotator skupił się na jednym emocjonalnym aspekcie, co może sugerować brak zrozumienia wieloaspektowości reakcji na wpływ społeczny.",reaction
406,0.0,powierzchowny,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,0,1,0,0,0,0,0,0,"Brak jakiejkolwiek zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedź po prostu nie istnieje.",kognitywne (odczucie bezsensowności),[],[],[],kognitywne (odczucie bezsensowności),brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w zrozumieniu reakcji na wpływ społeczny.,-1.0,"Brak jakiejkolwiek odpowiedzi w sekcji 'After' sugeruje, że annotator nie był w stanie zidentyfikować reakcji psychologicznych po zdobyciu nowych umiejętności, co może wskazywać na stagnację w rozwoju analizy reakcji na wpływ społeczny.",reaction
408,0.3,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,2,0,0,0,1,0,2,1,"Annotator przeszedł od ogólnych emocji do bardziej konkretnych zachowań, co wskazuje na spłycenie analizy emocjonalnej.","emocje negatywne (niesprawiedliwość, zniechęcenie)","zachowania (zapomnienie stroju, zauważenie innych), wyrażenie niezadowolenia",[],zachowania; wyrażenie niezadowolenia,emocje negatywne,spłycenie (fokus na zachowania),"Annotator przeszedł od identyfikacji emocji do opisu konkretnych zachowań, co wskazuje na spłycenie analizy psychologicznej.",-0.6,"Rozwój rozumienia przez annotatora wykazuje spłycenie analizy psychologicznej. Zamiast identyfikacji emocji, skupiono się na zewnętrznych zachowaniach i wynikach, co może sugerować brak głębszej refleksji nad wewnętrznymi stanami emocjonalnymi.",reaction
407,0.6,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,1,0,1,0,1,0,0,"Annotator przeszedł od ogólnego opisu 'prób wytłumaczenia się' do bardziej precyzyjnego 'usprawiedliwianie się', co wskazuje na lepsze zrozumienie psychologicznych mechanizmów obronnych.",procesy kognitywne (wytłumaczenie); zewnętrzne wyniki (próby),procesy kognitywne (usprawiedliwianie),procesy kognitywne,[],zewnętrzne wyniki,pogłębienie psychologiczne,"Annotator zaktualizował swoje rozumienie reakcji na wpływ społeczny, przechodząc od ogólnego opisu do bardziej specyficznego i psychologicznego terminu 'usprawiedliwianie się', co wskazuje na lepsze zrozumienie mechanizmów obronnych.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z ogólnego opisu na bardziej precyzyjny termin, co wskazuje na głębsze zrozumienie mechanizmów obronnych; (2) Utrata odniesienia do zewnętrznych wyników, co może sugerować większy nacisk na wewnętrzne procesy psychologiczne.",reaction
410,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,1,1,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedź po prostu opisuje preferencje dotyczące mody bez odniesienia do wewnętrznych stanów psychologicznych.",[],preferencje dotyczące mody; zgoda z innymi,[],preferencje dotyczące mody; zgoda z innymi,[],brak znaczącej zmiany,"Odpowiedź po nie przynosi żadnych nowych wglądów w psychologiczne reakcje na wpływ społeczny, a jedynie opisuje zewnętrzne preferencje.",0.0,"Brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Odpowiedź po nie wnosi jedynie zewnętrzne preferencje, co nie pokazuje głębszego zrozumienia wewnętrznych stanów psychologicznych.",reaction
