index,intention_semantic_similarity,intention_conceptual_depth_analysis_before_level,intention_conceptual_depth_analysis_after_level,intention_conceptual_depth_analysis_before_focus,intention_conceptual_depth_analysis_after_focus,intention_conceptual_depth_analysis_change_direction,intention_conceptual_coverage_before_categories,intention_conceptual_coverage_after_categories,intention_conceptual_coverage_maintained_categories,intention_conceptual_coverage_new_categories,intention_conceptual_coverage_lost_categories,intention_evolution_assessment_type,intention_evolution_assessment_description,intention_evolution_assessment_quality_change,intention_key_insights,intention_analysis_type
405,0.4,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,manipulacja emocjonalna; skłonienie do działania,motywacja do działania,[],motywacja do działania,manipulacja emocjonalna; skłonienie do działania,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania głębszych emocjonalnych intencji (poczucie winy/wstydu) do bardziej powierzchownego opisu konkretnego działania (przygotowanie do lekcji). Stracił fokus na psychologiczne mechanizmy wpływu.,-0.5,"Wyraźne pogorszenie w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnej akcji, ale nie uwzględnia głębszych emocjonalnych i psychologicznych aspektów wpływu. Brakuje analizy, dlaczego uczniowie powinni być zmotywowani do działania.",intention
406,0.6,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,motywacja do nauki,motywacja do aktywności fizycznej,[],motywacja do aktywności fizycznej,motywacja do nauki,przeformułowanie,Annotator zmienił kontekst motywacji z ogólnego przygotowania do zajęć na bardziej specyficzny kontekst związany z aktywnością fizyczną.,0.2,"Zmiana w rozumieniu intencji - annotator przeszedł od ogólnej motywacji do nauki do bardziej szczegółowej motywacji związanej z aktywnością fizyczną, co wskazuje na lepsze zrozumienie kontekstu, ale nadal pozostaje na poziomie powierzchownym.",intention
407,0.6,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,motywacja; kara,motywacja; przygotowanie do lekcji,motywacja,przygotowanie do lekcji,kara,pogłębienie koncepcyjne,"Annotator przeszedł od opisu konkretnych działań (motywowanie do pamiętania o stroju) do bardziej ogólnego celu, jakim jest przygotowanie się na lekcje. Zmiana ta wskazuje na lepsze zrozumienie intencji związanych z motywacją.",0.5,"Rozwój w zrozumieniu intencji - annotator przeszedł od konkretnego działania do bardziej ogólnego celu, co wskazuje na lepsze zrozumienie psychologicznych aspektów motywacji. Zmiana w podejściu do intencji wywierania wpływu na uczniów.",intention
409,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,motywacja; przekonanie,[],[],[],motywacja; przekonanie,brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w rozumieniu intencji wywierania wpływu.,-1.0,"Brak odpowiedzi w 'After' sugeruje, że annotator nie rozwinął swojego zrozumienia intencji wywierania wpływu, co może wskazywać na brak refleksji lub trudności w identyfikacji celów w kontekście wpływu społecznego.",intention
408,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,emocjonalne oddziaływanie; mobilizacja do działania,przekonywanie do obowiązkowości; konkretne działania,[],przekonywanie do obowiązkowości,emocjonalne oddziaływanie; mobilizacja do działania,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikacji emocjonalnych intencji (poczucie winy) do opisywania konkretnych działań (przynoszenie strojów). Stracił fokus na głębsze psychologiczne mechanizmy.,-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnych działaniach, a nie na emocjonalnych intencjach. Brakuje zrozumienia, dlaczego osoba wywierająca wpływ mogła chcieć wywołać poczucie winy.",intention
410,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],promocja produktów,[],promocja produktów,[],brak znaczącej zmiany,"Annotator nie dostarczył żadnych informacji przed, a po jedynie wskazał na promocję markowych ubrań, co nie wnosi głębszego zrozumienia intencji.",0.0,Brak rozwoju w zrozumieniu intencji - odpowiedź 'After' jest bardzo powierzchowna i nie identyfikuje psychologicznych ani społecznych aspektów wpływu.,intention
411,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,promocja marki; zachęta do zakupu,[],[],[],promocja marki; zachęta do zakupu,"spłycenie (więcej detali, mniej konceptów)","Annotator nie dostarczył żadnej odpowiedzi w sekcji 'After', co sugeruje brak rozwoju w rozumieniu intencji wywierania wpływu.",-1.0,"Brak odpowiedzi w sekcji 'After' wskazuje na całkowity brak rozwoju w analizie intencji. Annotator nie zdołał zidentyfikować żadnych intencji ani celów, co może sugerować regresję w umiejętności analizy.",intention
412,0.5,średni,średni,koncepcyjny,mieszany,bez zmian,potrzeba akceptacji; relacje interpersonalne,komplementowanie; oczekiwanie uznania,[],komplementowanie; oczekiwanie uznania,potrzeba akceptacji; relacje interpersonalne,przeformułowanie,Annotator przeszedł od identyfikacji intencji związanych z potrzebą akceptacji i relacjami do bardziej konkretnych działań i oczekiwań związanych z komplementowaniem i uznaniem.,0.2,"Annotator zmienił podejście do analizy intencji, koncentrując się na konkretnych działaniach (komplementowanie) i oczekiwaniach (uznanie), co wskazuje na rozwój w rozumieniu dynamiki interakcji społecznych, ale jednocześnie utracił szerszy kontekst relacji interpersonalnych.",intention
413,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],docenienie gustu; nakłonienie do zakupu,[],docenienie gustu; nakłonienie do zakupu,[],brak znaczącej zmiany,"Annotator przedstawił konkretne intencje, ale nie rozwinął ich w kierunku głębszych, psychologicznych motywacji.",0.0,"Brak rozwoju w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnych działaniach, ale nie identyfikuje szerszych celów czy psychologicznych mechanizmów wpływu.",intention
414,0.4,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,docenienie jakości,refleksja nad wydatkiem; kompromis w zakupach,[],refleksja nad wydatkiem; kompromis,docenienie jakości,pogłębienie koncepcyjne,Annotator przeszedł od prostego opisu docenienia jakości do bardziej złożonych intencji związanych z refleksją nad wydatkami i poszukiwaniem kompromisu. Wskazuje na rozwój w rozumieniu psychologicznych aspektów wpływu.,0.5,"Rozwój w zrozumieniu intencji - annotator przeszedł od powierzchownego opisu do bardziej złożonych celów, takich jak refleksja i kompromis. To pokazuje lepsze zrozumienie dynamiki wpływu w relacjach interpersonalnych.",intention
415,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,refleksja nad potrzebami; decyzje zakupowe,zakup obuwia,[],zakup obuwia,refleksja nad potrzebami; decyzje zakupowe,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od analizy intencji związanych z refleksją nad potrzebami do opisu konkretnego działania zakupu. Stracił fokus na głębsze intencje związane z decyzjami.,-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnym zakupie, a nie na psychologicznych aspektach decyzji. Brakuje zrozumienia intencji matki w kontekście refleksji i długoterminowych potrzeb syna.",intention
416,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,pragnienie posiadania,nakłanianie do zakupu,[],nakłanianie do zakupu,pragnienie posiadania,brak znaczącej zmiany,"Annotator przeszedł od ogólnego pragnienia do bardziej szczegółowego opisu działań nakłaniania, ale nie zyskał głębszego zrozumienia intencji.",0.0,"Brak znaczącej zmiany w zrozumieniu intencji. Annotator skupił się na konkretnych działaniach nakłaniania, ale nie zidentyfikował głębszych motywacji czy celów stojących za tymi działaniami.",intention
417,0.6,średni,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,przekonanie do zakupu; oszczędność,przekonanie do rozważenia; nauka rozwagi; emocje a decyzje,przekonanie do zakupu,nauka rozwagi; emocje a decyzje,oszczędność,pogłębienie koncepcyjne,"Annotator przeszedł od prostego przekonywania do zakupu do bardziej złożonego zrozumienia intencji, które obejmują naukę rozwagi i emocjonalne aspekty podejmowania decyzji.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator teraz dostrzega nie tylko cel zakupu, ale także proces edukacji i emocjonalne aspekty decyzji zakupowych. To pokazuje głębsze zrozumienie wpływu na zachowanie odbiorcy.",intention
418,0.4,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,unikanie wydatków,nakłanianie; przekonywanie,[],nakłanianie; przekonywanie,unikanie wydatków,przeformułowanie,"Annotator przeszedł od opisu konkretnej intencji matki do bardziej złożonego opisu interakcji między matką a synem, w której obie strony próbują wpływać na siebie nawzajem.",0.5,"Rozwój w zrozumieniu dynamiki wpływu - annotator dostrzega teraz interakcję i wzajemne nakłanianie, co wskazuje na lepsze zrozumienie intencji w kontekście relacji. Zmiana z jednostronnego spojrzenia na bardziej złożoną interakcję.",intention
419,0.5,średni,głęboki,mieszany,koncepcyjny,bardziej koncepcyjny,przekonywanie do zakupu; refleksja nad decyzjami finansowymi,zachęta do przemyślenia wydatków; promowanie jakości i ceny,refleksja nad decyzjami finansowymi,promowanie jakości i ceny,przekonywanie do zakupu,pogłębienie koncepcyjne,Annotator przeszedł od identyfikacji konkretnych działań związanych z zakupem do bardziej złożonych intencji związanych z edukacją finansową i promowaniem wartości jakościowych.,0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator teraz dostrzega nie tylko konkretne działania, ale także szersze cele związane z edukacją finansową i promowaniem wartości jakościowych, co wskazuje na głębsze zrozumienie psychologicznych aspektów wpływu.",intention
421,0.5,średni,średni,koncepcyjny,koncepcyjny,bez zmian,oszczędność; edukacja finansowa; normy rodzinne,oszczędność; racjonalne zakupy,oszczędność,racjonalne zakupy,edukacja finansowa; normy rodzinne,przeformułowanie,Annotator przeszedł od bardziej szczegółowych intencji edukacyjnych do bardziej ogólnych celów związanych z oszczędnością i racjonalnym gospodarowaniem pieniędzmi.,0.2,"Annotator zredukował szczegółowość w opisie intencji, koncentrując się na ogólnych celach oszczędnościowych i racjonalnych zakupów. W odpowiedzi 'After' brakuje jednak głębszego zrozumienia edukacyjnych aspektów wpływu na syna.",intention
420,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,oszczędność; edukacja finansowa,zakupy; oszczędność; wartość produktu,oszczędność,zakupy; wartość produktu,edukacja finansowa,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od ogólnych intencji związanych z edukacją finansową do szczegółowego opisu działań zakupowych. Stracił z oceny szerszy kontekst intencji.,-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Zamiast identyfikować cele związane z edukacją finansową, annotator skupił się na konkretnych działaniach zakupowych, co ogranicza zrozumienie głębszych motywacji.",intention
423,0.2,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wartości osobiste; akceptacja społeczna,przekonywanie do wyboru produktu,[],przekonywanie do wyboru produktu,wartości osobiste; akceptacja społeczna,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od analizy głębszych wartości i potrzeb społecznych do opisu konkretnego działania (przekonanie do zakupu). Zabrakło szerszego kontekstu psychologicznego.,-0.7,"Wyraźne pogorszenie w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnym działaniu, a nie na głębszych motywacjach i wartościach, które mogą kierować tym działaniem.",intention
422,0.2,średni,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,racjonalne wydawanie pieniędzy; racjonalny wybór produktów; porównywanie produktów,edukacja życiowa; odporność na presję grupy,[],edukacja życiowa; odporność na presję grupy,racjonalne wydawanie pieniędzy; racjonalny wybór produktów; porównywanie produktów,pogłębienie koncepcyjne,Annotator przeszedł od identyfikacji konkretnych zachęt do bardziej abstrakcyjnych celów związanych z edukacją i odpornością na presję społeczną. Zmiana ta wskazuje na głębsze zrozumienie intencji wywierania wpływu.,0.7,"Wyraźny rozwój w rozumieniu intencji - annotator przeszedł od powierzchownych zachęt do racjonalnych wyborów do głębszych celów edukacyjnych, które mają na celu przygotowanie syna do życia w społeczeństwie, co pokazuje zrozumienie psychologicznych aspektów wpływu.",intention
425,0.5,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zwiększenie subskrybentów,wsparcie kanału,[],wsparcie kanału,zwiększenie subskrybentów,brak znaczącej zmiany,"Annotator nie wykazał znaczącej zmiany w zrozumieniu intencji. Odpowiedzi pozostają na poziomie powierzchownym, koncentrując się na konkretnych działaniach.",0.0,"Brak ewolucji w rozumieniu intencji. Odpowiedzi są nadal na poziomie konkretnych działań, bez głębszej analizy celów czy motywacji stojących za subskrypcjami.",intention
424,0.2,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,przekonywanie do racjonalnych wydatków; przeciwdziałanie presji społecznej; osobiste cele Kuby,zwiększenie zasięgów; namawianie do subskrypcji,[],zasięg; subskrypcja,przekonywanie do racjonalnych wydatków; przeciwdziałanie presji społecznej; osobiste cele Kuby,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od analizy głębszych intencji związanych z przekonywaniem i osobistymi wartościami do opisywania konkretnych działań związanych z zasięgami i subskrypcjami.,-0.7,"Wyraźne pogorszenie w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnych działaniach (zasięg, subskrypcje), tracąc z oceny głębsze motywacje i cele związane z przekonywaniem i osobistym rozwojem.",intention
426,0.4,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,zwiększenie subskrypcji; przekonywanie; budowanie wspólnoty; lojalność,przekonywanie do subskrypcji,[],przekonywanie do subskrypcji,zwiększenie subskrypcji; budowanie wspólnoty; lojalność,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od złożonego zrozumienia intencji związanych z budowaniem społeczności i lojalności do bardziej jednowymiarowego celu, jakim jest przekonanie do subskrypcji.",-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na jednym, konkretnym celu, tracąc złożoność wcześniejszych intencji związanych z budowaniem wspólnoty i lojalności. Brakuje głębszego zrozumienia psychologicznych aspektów wpływu.",intention
427,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,pozyskiwanie subskrybentów; manipulacja emocjonalna,subskrypcje; zasięg; monetizacja; lojalność,pozyskiwanie subskrybentów,zasięg; monetizacja; lojalność,manipulacja emocjonalna,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od identyfikowania intencji związanych z emocjami i manipulacją do opisywania konkretnych działań i rezultatów, co skutkuje utratą głębszego zrozumienia psychologicznych aspektów wpływu.",-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Annotator skupił się na konkretnych działaniach (subskrypcje, zasięg), tracąc z oczu psychologiczne mechanizmy, takie jak wzbudzanie emocji. To sugeruje, że rozwój umiejętności niekoniecznie przełożył się na głębsze zrozumienie intencji wywierania wpływu.",intention
428,0.4,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zaangażowanie użytkowników; wzrost subskrypcji; cele finansowe,wsparcie kanału,[],wsparcie kanału,zaangażowanie użytkowników; wzrost subskrypcji; cele finansowe,brak znaczącej zmiany,"Annotator w obu odpowiedziach koncentruje się na konkretnych działaniach związanych z subskrypcjami i wsparciem, nie rozwijając głębszych intencji czy psychologicznych mechanizmów.",0.0,"Brak istotnego rozwoju w rozumieniu intencji. Odpowiedzi pozostają na poziomie powierzchownym, koncentrując się na konkretnych celach związanych z subskrypcjami, bez analizy głębszych motywacji czy psychologicznych aspektów wpływu.",intention
429,0.4,średni,głęboki,koncepcyjny,koncepcyjny,bardziej koncepcyjny,manipulacja emocjonalna; zwiększenie subskrypcji,zaangażowanie; rozwój osobisty; motywacja,[],zaangażowanie; rozwój osobisty; motywacja,manipulacja emocjonalna; zwiększenie subskrypcji,pogłębienie koncepcyjne,"Annotator przeszedł od identyfikacji manipulacyjnych intencji do bardziej pozytywnych celów związanych z rozwojem i motywacją uczniów. Zmiana w kierunku zrozumienia, jak wpływ może być użyty do wspierania zaangażowania i osobistego rozwoju.",0.7,"Wyraźny rozwój w rozumieniu intencji - annotator przeszedł od postrzegania wpływu jako manipulacji do dostrzegania pozytywnych celów, takich jak motywacja i rozwój osobisty. To wskazuje na głębsze zrozumienie psychologicznych aspektów wpływu.",intention
430,0.5,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja; odpowiedzialność,motywacja,motywacja,[],odpowiedzialność,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania intencji związanych z odpowiedzialnością i zaangażowaniem drużyny do bardziej powierzchownego opisu motywacji do treningów. Zabrakło głębszego zrozumienia psychologicznych aspektów wpływu.,-0.5,"Pojawiło się spłycenie w analizie intencji - odpowiedź 'After' koncentruje się na konkretnym działaniu (motywowanie do treningów), ale nie uwzględnia szerszych intencji związanych z odpowiedzialnością i wspólnotą w drużynie.",intention
431,0.5,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,wyniki sportowe,mobilizacja; troska o wyniki; wykorzystanie potencjału,[],mobilizacja; troska o wyniki; wykorzystanie potencjału,wyniki sportowe,pogłębienie koncepcyjne,"Annotator przeszedł od ogólnego celu poprawy wyników sportowych do bardziej złożonych intencji, takich jak mobilizacja uczniów i troska o ich rozwój. Wskazuje na zrozumienie psychologicznych i emocjonalnych aspektów wpływu.",0.7,"Wyraźny rozwój w rozumieniu intencji - annotator zidentyfikował nie tylko cele związane z wynikami, ale także emocjonalne i relacyjne aspekty wpływu na uczniów. To pokazuje głębsze zrozumienie motywacji i potrzeb młodych sportowców.",intention
432,0.5,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,mobilizacja drużyny,zaangażowanie; rozwój osobisty; zmiana nastawienia,mobilizacja,rozwój osobisty; zmiana nastawienia,[],pogłębienie koncepcyjne,"Annotator przeszedł od jednego, konkretnego celu (mobilizacja drużyny) do bardziej złożonego zrozumienia intencji, które obejmują zaangażowanie, rozwój osobisty i zmianę nastawienia uczniów.",0.7,"Rozwój w zrozumieniu intencji - annotator dostrzega teraz nie tylko mobilizację, ale także szersze cele związane z zaangażowaniem i osobistym rozwojem uczniów. To wskazuje na głębsze zrozumienie psychologicznych aspektów wpływu.",intention
433,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja; samodyscyplina; wyniki sportowe,motywacja do uczestnictwa,motywacja,[],samodyscyplina; wyniki sportowe,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od identyfikowania szerszych celów związanych z samodyscypliną i wynikami do bardziej konkretnego celu, jakim jest zmotywowanie drużyny do uczestnictwa w treningach. Stracił z oceny szersze koncepcje.",-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Zamiast szerszych celów, takich jak samodyscyplina i wyniki, annotator skupił się na konkretnym działaniu, co ogranicza zrozumienie głębszych motywacji.",intention
434,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja do działania; zaangażowanie w treningi,zachęta do twórczości; docenienie,[],zachęta do twórczości; docenienie,motywacja do działania; zaangażowanie w treningi,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od ogólnej intencji motywowania do konkretnego działania, które dotyczyło zachęty do pisania i docenienia, co ogranicza głębsze zrozumienie intencji.",-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Zamiast identyfikować ogólne cele motywacyjne, annotator skupił się na konkretnych działaniach, co ogranicza zrozumienie psychologicznych mechanizmów wpływu.",intention
435,0.9,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zachęta do twórczości,zachęta do twórczości,zachęta do twórczości,[],[],brak znaczącej zmiany,"Annotator nie zmienił swojego podejścia ani głębokości analizy intencji. Obie odpowiedzi koncentrują się na tym samym celu, ale nie rozwijają go w kierunku głębszych intencji.",0.0,"Brak ewolucji w rozumieniu intencji. Odpowiedzi są na podobnym poziomie powierzchowności, koncentrując się na konkretnym działaniu bez analizy głębszych motywacji.",intention
436,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zachęcanie do twórczości,[],[],[],zachęcanie do twórczości,brak znaczącej zmiany,"Annotator nie dostarczył odpowiedzi w sekcji 'After', co uniemożliwia ocenę ewolucji zrozumienia intencji.",0.0,"Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w rozumieniu intencji wywierania wpływu. Nie można ocenić zmiany, ponieważ nie ma nowych informacji.",intention
437,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],tworzenie muzyki,[],tworzenie muzyki,[],brak znaczącej zmiany,"Annotator nie wykazał rozwoju w zrozumieniu intencji wywierania wpływu, pozostając na poziomie opisu konkretnego działania.",0.0,"Brak jakiejkolwiek zmiany w zrozumieniu intencji. Odpowiedź 'After' koncentruje się na konkretnym działaniu (napisanie tekstu), nie identyfikując głębszych celów czy motywacji.",intention
438,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja twórcza,perswazja; działanie konkretne,[],perswazja; działanie konkretne,motywacja twórcza,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od ogólnej intencji motywowania do konkretnego działania perswazyjnego. Skupił się na opisie działania zamiast na głębszych intencjach.,-0.5,"Zmiana w rozumieniu intencji - annotator przeszedł od identyfikacji ogólnej motywacji do bardziej szczegółowego opisu konkretnego działania, co wskazuje na spłycenie analizy intencji.",intention
440,0.5,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zakup produktu,zakup produktu,zakup produktu,[],[],brak znaczącej zmiany,"Annotator nie wykazał znaczącej zmiany w rozumieniu intencji, pozostając na poziomie opisu konkretnego działania.",0.0,"Brak ewolucji w zrozumieniu intencji - odpowiedzi pozostają na poziomie powierzchownym, koncentrując się na konkretnych działaniach związanych z zakupem, bez analizy głębszych motywacji czy celów.",intention
439,0.4,głęboki,średni,koncepcyjny,mieszany,bardziej konkretny,wzmacnianie przekonań; rozpoznawalność,promocja produktu; budowanie wizerunku; relacje z odbiorcami,[],promocja produktu; budowanie wizerunku; relacje z odbiorcami,wzmacnianie przekonań; rozpoznawalność,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania głębszych intencji związanych z przekonaniami do bardziej konkretnych działań związanych z promocją produktu i budowaniem wizerunku. Stracił fokus na psychologiczne aspekty wpływu.,-0.5,"Zmiana w odpowiedzi 'After' wskazuje na przesunięcie w kierunku bardziej powierzchownych intencji związanych z marketingiem i promocją, co skutkuje utratą głębszego zrozumienia psychologicznych mechanizmów wpływu na odbiorców.",intention
442,0.2,średni,powierzchowny,konkretny,konkretny,bardziej konkretny,cele finansowe; zasięg w mediach społecznościowych; marketing,zakup produktu,[],zakup produktu,cele finansowe; zasięg w mediach społecznościowych; marketing,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania celów marketingowych i finansowych do opisywania konkretnego działania (zakup napojów). Stracił fokus na szersze intencje i cele.,-0.7,"Wyraźne pogorszenie w analizie intencji - odpowiedź 'After' koncentruje się na konkretnym działaniu (zakup), a nie na szerszych celach i motywacjach związanych z wpływem na odbiorców. Brakuje zrozumienia kontekstu marketingowego i psychologicznych aspektów wpływu.",intention
441,0.5,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,zachęta do zakupu,zachęta do zakupu; zyski finansowe; zwiększenie popularności,zachęta do zakupu,zyski finansowe; zwiększenie popularności,[],pogłębienie koncepcyjne,"Annotator rozszerzył swoje zrozumienie intencji, dodając aspekty finansowe i związane z popularnością, co wskazuje na głębsze zrozumienie celów wywierania wpływu.",0.6,"Rozwój w zrozumieniu intencji - annotator przeszedł od prostego opisu zachęty do zakupu do identyfikacji szerszych celów, takich jak zyski finansowe i zwiększenie popularności, co pokazuje lepsze zrozumienie mechanizmów wpływu.",intention
443,0.6,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,zakup,zachęta do zakupu; zaangażowanie społeczności; tworzenie trendów,[],zachęta do zakupu; zaangażowanie społeczności; tworzenie trendów,zakup,pogłębienie koncepcyjne,Annotator przeszedł od opisu konkretnego działania (zakup) do identyfikacji szerszych intencji związanych z wpływem na decyzje zakupowe oraz budowaniem społeczności wokół marki.,0.7,"Wyraźny rozwój w rozumieniu intencji - annotator zidentyfikował nie tylko cel zakupu, ale także szersze aspekty wpływu, takie jak budowanie społeczności i tworzenie trendów, co wskazuje na głębsze zrozumienie mechanizmów społecznych.",intention
444,0.5,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,sprzedaż produktu,skłonienie do zakupu; zmiana postrzegania; wzmocnienie autorytetu; budowanie społeczności,[],skłonienie do zakupu; zmiana postrzegania; wzmocnienie autorytetu; budowanie społeczności,sprzedaż produktu,pogłębienie koncepcyjne,"Annotator przeszedł od prostego celu sprzedażowego do zrozumienia złożonych intencji związanych z wpływem na postrzeganie i budowaniem relacji z odbiorcami. Zidentyfikował różne aspekty wpływu, takie jak autorytet i społeczność.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator przeszedł od powierzchownego celu sprzedaży do głębszej analizy psychologicznych i społecznych mechanizmów wpływu. Zrozumienie, że sprzedaż to nie tylko transakcja, ale także budowanie relacji i postrzegania, wskazuje na dojrzałość w analizie intencji.",intention
446,0.4,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zainteresowanie produktem,reklama; nakłonienie do zakupu,[],reklama; nakłonienie do zakupu,zainteresowanie produktem,brak znaczącej zmiany,"Annotator przeszedł od opisu zainteresowania produktem do bardziej konkretnych działań związanych z reklamą i nakłanianiem do zakupu, ale nie wprowadził głębszych intencji.",0.0,"Brak znaczącej zmiany w zrozumieniu intencji. Odpowiedź 'After' koncentruje się na konkretnych działaniach reklamowych, ale nie rozwija głębszych celów czy motywacji stojących za tymi działaniami.",intention
445,0.4,średni,powierzchowny,konkretny,konkretny,bardziej konkretny,skłonienie do zakupu; deprecjacja konkurencji,promowanie produktu,[],promowanie produktu,skłonienie do zakupu; deprecjacja konkurencji,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania konkretnych intencji związanych z wpływem na decyzje zakupowe i deprecjacją konkurencji do ogólnego promowania produktu. Brakuje głębszego zrozumienia psychologicznych mechanizmów wpływu.,-0.5,"Pogorszenie w analizie intencji - odpowiedź 'After' jest bardziej powierzchowna, koncentrując się na promowaniu produktu bez uwzględnienia szerszych intencji, takich jak wpływ na decyzje zakupowe czy deprecjacja konkurencji.",intention
447,0.4,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,nakłonienie do zakupu,zakup produktu; budowanie autorytetu; przywiązanie użytkowników; rozwój kanału,[],budowanie autorytetu; przywiązanie użytkowników; rozwój kanału,nakłonienie do zakupu,pogłębienie koncepcyjne,"Annotator przeszedł od opisu konkretnego działania (nakłonienie do zakupu) do identyfikacji szerszych celów i intencji, takich jak budowanie autorytetu i przywiązania użytkowników.",0.5,"Rozwój w zrozumieniu intencji - annotator dostrzega teraz nie tylko konkretne działania, ale także długofalowe cele związane z budowaniem relacji z użytkownikami i rozwojem swojego wizerunku jako influencera.",intention
448,0.5,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,zakup produktu,perswazja; konkretne produkty,[],perswazja; konkretne produkty,zakup produktu,pogłębienie koncepcyjne,Annotator przeszedł od opisu konkretnego działania (zakup) do zrozumienia intencji perswazyjnej (przekonanie do zakupu). To pokazuje rozwój w rozumieniu psychologicznych mechanizmów wpływu.,0.7,"Rozwój w zrozumieniu intencji - annotator przeszedł od prostego opisu zakupu do analizy perswazyjnych działań, co wskazuje na głębsze zrozumienie celów osoby wywierającej wpływ.",intention
